[19:05:23] [ServerMain/WARN]: Failed to add PDH Counter: \Paging File(_Total)\% Usage, Error code: 0xC0000BB8
[19:05:23] [ServerMain/WARN]: Failed to add counter for PDH counter: \Paging File(_Total)\% Usage
[19:05:23] [ServerMain/WARN]: Disabling further attempts to query Paging File.
[19:05:26] [ServerMain/WARN]: COM exception: Invalid Query: SELECT PERCENTUSAGE FROM Win32_PerfRawData_PerfOS_PagingFile
[19:05:38] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[19:05:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:05:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:05:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[19:05:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[19:05:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:05:41] [ServerMain/INFO]: Reloading ResourceManager: Default
[19:05:44] [Worker-Main-4/INFO]: Loaded 7 recipes
[19:05:47] [Worker-Main-4/INFO]: Loaded 1141 advancements
[19:05:53] [Server thread/INFO]: Starting minecraft server version 1.18.1
[19:05:53] [Server thread/INFO]: Loading properties
[19:05:53] [Server thread/INFO]: Default game type: SURVIVAL
[19:05:53] [Server thread/INFO]: Generating keypair
[19:05:54] [Server thread/INFO]: Starting Minecraft server on *:25565
[19:05:54] [Server thread/INFO]: Using default channel type
[19:05:54] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[19:05:54] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[19:05:54] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[19:05:54] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[19:05:54] [Server thread/INFO]: Preparing level "world"
[19:06:13] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[19:06:14] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[19:06:14] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:15] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:06:15] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:16] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[19:06:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:24] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:06:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:24] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:06:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:24] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:06:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:25] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:25] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:26] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:06:26] [Worker-Main-4/INFO]: Preparing spawn area: 1%
[19:06:27] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[19:06:27] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[19:06:28] [Worker-Main-5/INFO]: Preparing spawn area: 2%
[19:06:28] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[19:06:29] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[19:06:29] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[19:06:30] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[19:06:30] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[19:06:31] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[19:06:31] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[19:06:32] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[19:06:32] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[19:06:33] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[19:06:33] [Worker-Main-5/INFO]: Preparing spawn area: 5%
[19:06:34] [Worker-Main-6/INFO]: Preparing spawn area: 5%
[19:06:34] [Worker-Main-4/INFO]: Preparing spawn area: 9%
[19:06:35] [Worker-Main-6/INFO]: Preparing spawn area: 11%
[19:06:35] [Worker-Main-4/INFO]: Preparing spawn area: 13%
[19:06:36] [Worker-Main-5/INFO]: Preparing spawn area: 17%
[19:06:36] [Worker-Main-6/INFO]: Preparing spawn area: 17%
[19:06:37] [Worker-Main-4/INFO]: Preparing spawn area: 17%
[19:06:37] [Worker-Main-5/INFO]: Preparing spawn area: 17%
[19:06:38] [Worker-Main-4/INFO]: Preparing spawn area: 17%
[19:06:38] [Worker-Main-6/INFO]: Preparing spawn area: 17%
[19:06:39] [Worker-Main-4/INFO]: Preparing spawn area: 20%
[19:06:39] [Worker-Main-5/INFO]: Preparing spawn area: 21%
[19:06:40] [Worker-Main-4/INFO]: Preparing spawn area: 21%
[19:06:40] [Worker-Main-5/INFO]: Preparing spawn area: 22%
[19:06:41] [Worker-Main-4/INFO]: Preparing spawn area: 22%
[19:06:41] [Worker-Main-5/INFO]: Preparing spawn area: 22%
[19:06:42] [Worker-Main-6/INFO]: Preparing spawn area: 23%
[19:06:42] [Worker-Main-6/INFO]: Preparing spawn area: 26%
[19:06:43] [Worker-Main-4/INFO]: Preparing spawn area: 26%
[19:06:43] [Worker-Main-4/INFO]: Preparing spawn area: 28%
[19:06:44] [Worker-Main-4/INFO]: Preparing spawn area: 28%
[19:06:44] [Worker-Main-5/INFO]: Preparing spawn area: 30%
[19:06:45] [Worker-Main-4/INFO]: Preparing spawn area: 31%
[19:06:45] [Worker-Main-6/INFO]: Preparing spawn area: 32%
[19:06:47] [Worker-Main-4/INFO]: Preparing spawn area: 34%
[19:06:47] [Worker-Main-5/INFO]: Preparing spawn area: 34%
[19:06:47] [Worker-Main-5/INFO]: Preparing spawn area: 34%
[19:06:47] [Worker-Main-4/INFO]: Preparing spawn area: 36%
[19:06:48] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[19:06:48] [Worker-Main-5/INFO]: Preparing spawn area: 48%
[19:06:49] [Worker-Main-5/INFO]: Preparing spawn area: 48%
[19:06:49] [Worker-Main-5/INFO]: Preparing spawn area: 51%
[19:06:50] [Worker-Main-4/INFO]: Preparing spawn area: 60%
[19:06:50] [Worker-Main-6/INFO]: Preparing spawn area: 64%
[19:06:51] [Worker-Main-6/INFO]: Preparing spawn area: 69%
[19:06:51] [Worker-Main-6/INFO]: Preparing spawn area: 69%
[19:06:52] [Worker-Main-5/INFO]: Preparing spawn area: 69%
[19:06:52] [Worker-Main-6/INFO]: Preparing spawn area: 71%
[19:06:53] [Worker-Main-4/INFO]: Preparing spawn area: 73%
[19:06:54] [Worker-Main-6/INFO]: Preparing spawn area: 73%
[19:06:54] [Worker-Main-5/INFO]: Preparing spawn area: 73%
[19:06:54] [Worker-Main-6/INFO]: Preparing spawn area: 77%
[19:06:55] [Worker-Main-6/INFO]: Preparing spawn area: 77%
[19:06:55] [Worker-Main-6/INFO]: Preparing spawn area: 77%
[19:06:56] [Worker-Main-5/INFO]: Preparing spawn area: 79%
[19:06:56] [Worker-Main-5/INFO]: Preparing spawn area: 79%
[19:06:57] [Worker-Main-4/INFO]: Preparing spawn area: 79%
[19:06:57] [Worker-Main-4/INFO]: Preparing spawn area: 79%
[19:06:58] [Worker-Main-4/INFO]: Preparing spawn area: 80%
[19:06:58] [Worker-Main-5/INFO]: Preparing spawn area: 80%
[19:06:59] [Worker-Main-4/INFO]: Preparing spawn area: 80%
[19:06:59] [Worker-Main-5/INFO]: Preparing spawn area: 81%
[19:07:00] [Worker-Main-6/INFO]: Preparing spawn area: 82%
[19:07:00] [Worker-Main-4/INFO]: Preparing spawn area: 82%
[19:07:01] [Worker-Main-5/INFO]: Preparing spawn area: 83%
[19:07:01] [Worker-Main-6/INFO]: Preparing spawn area: 84%
[19:07:02] [Worker-Main-5/INFO]: Preparing spawn area: 84%
[19:07:02] [Worker-Main-4/INFO]: Preparing spawn area: 84%
[19:07:03] [Worker-Main-4/INFO]: Preparing spawn area: 84%
[19:07:03] [Worker-Main-4/INFO]: Preparing spawn area: 84%
[19:07:04] [Worker-Main-6/INFO]: Preparing spawn area: 85%
[19:07:04] [Worker-Main-6/INFO]: Preparing spawn area: 85%
[19:07:05] [Worker-Main-5/INFO]: Preparing spawn area: 87%
[19:07:05] [Worker-Main-4/INFO]: Preparing spawn area: 88%
[19:07:06] [Worker-Main-4/INFO]: Preparing spawn area: 90%
[19:07:06] [Worker-Main-6/INFO]: Preparing spawn area: 91%
[19:07:07] [Worker-Main-6/INFO]: Preparing spawn area: 91%
[19:07:07] [Worker-Main-5/INFO]: Preparing spawn area: 91%
[19:07:08] [Worker-Main-5/INFO]: Preparing spawn area: 92%
[19:07:08] [Worker-Main-5/INFO]: Preparing spawn area: 95%
[19:07:09] [Worker-Main-6/INFO]: Preparing spawn area: 95%
[19:07:09] [Worker-Main-6/INFO]: Preparing spawn area: 95%
[19:07:10] [Worker-Main-5/INFO]: Preparing spawn area: 97%
[19:07:10] [Worker-Main-6/INFO]: Preparing spawn area: 97%
[19:07:11] [Server thread/INFO]: Time elapsed: 73995 ms
[19:07:11] [Server thread/INFO]: Done (76.455s)! For help, type "help"
[19:08:13] [Server thread/INFO]: Stopping the server
[19:08:13] [Server thread/INFO]: Stopping server
[19:08:13] [Server thread/INFO]: Saving players
[19:08:13] [Server thread/INFO]: Saving worlds
[19:08:13] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:overworld
[19:08:14] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_nether
[19:08:14] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_end
[19:08:14] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[19:08:14] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[19:08:14] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[19:08:14] [Server thread/INFO]: ThreadedAnvilChunkStorage: All dimensions are saved
